"Date";"Terrestre";"Terrestre - PNA";"Terrestre PPE basse";"Terrestre PPE haute";"Mer posé";"Mer posé - PNA";"Mer posé PPE"
"31/12/08";3630;3458;;;0;;
"31/03/09";3926;;;;0;;
"30/06/09";4215;;;;0;;
"30/09/09";4474;;;;0;;
"31/12/09";4785;;;;0;;
"31/03/10";4951;;;;0;;
"30/06/10";5258;;;;0;;
"30/09/10";5657;;;;0;;
"31/12/10";6020;5542;;;0;;
"31/03/11";6296;;;;0;;
"30/06/11";6491;;;;0;;
"30/09/11";6737;;;;0;;
"31/12/11";6865;6830;;;0;;
"31/03/12";6991;;;;0;;
"30/06/12";7123;;;;0;;
"30/09/12";7422;;;;0;;
"31/12/12";7669;7598;;;0;667;
"31/03/13";7749;;;;0;;
"30/06/13";7892;;;;0;;
"30/09/13";8087;;;;0;;
"31/12/13";8250;8512;;;0;1333;
"31/03/14";8410;;;;0;;
"30/06/14";8759;;;;0;;
"30/09/14";8984;;;;0;;
"31/12/14";9413;9572;;;0;2000;
"31/03/15";9627;;;;0;;
"30/06/15";9841;;;;0;;
"30/09/15";10117;;;;0;;
"31/12/15";10409;10778;;;0;2667;
"31/03/16";10550;;;;0;;
"30/06/16";10961;;;;0;;
"30/09/16";11277;;;;0;;
"31/12/16";11870;12130;;;0;3333;
"31/03/17";12214;;;;0;;
"30/06/17";12427;;;;0;;
"30/09/17";12940;;;;0;;
"31/12/17";13682;13628;;;0;4000;
"31/03/18";13822;;;;0;;
"30/06/18";14085;;;;0;;
"30/09/18";14446;;;;0;;
"31/12/18";15235;15273;15000;;0;4667;500
"31/03/19";15519;;;;0;;
"30/06/19";15920;;;;0;;
"30/09/19";16093;;;;;;
"31/12/19";16617;17063;;;;5333;
"31/03/20";;;;;;;
"30/06/20";;;;;;;
"30/09/20";;;;;;;
"31/12/20";;19000;;;;6000;
"31/03/21";;;;;;;
"30/06/21";;;;;;;
"30/09/21";;;;;;;
"31/12/21";;;;;;;
"31/03/22";;;;;;;
"30/06/22";;;;;;;
"30/09/22";;;;;;;
"31/12/22";;;;;;;
"31/03/23";;;;;;;
"30/06/23";;;;;;;
"30/09/23";;;;;;;
"31/12/23";;;21800;26000;;;3000
